AI Model,Job_Type,Run,Resume_Type,Rating,Experiment
ChatGPT-fast,Fraud,1,Finance,35,2a
ChatGPT-fast,Fraud,2,Finance,45,2a
ChatGPT-fast,Fraud,3,Finance,38,2a
ChatGPT-slow,Fraud,1,Finance,52,2a
ChatGPT-slow,Fraud,2,Finance,38,2a
ChatGPT-slow,Fraud,3,Finance,45,2a
Claude-fast,Fraud,1,Finance,25,2a
Claude-fast,Fraud,2,Finance,25,2a
Claude-fast,Fraud,3,Finance,25,2a
Copilot-fast,Fraud,1,Finance,48,2a
Copilot-fast,Fraud,2,Finance,63,2a
Copilot-fast,Fraud,3,Finance,54,2a
Copilot-slow,Fraud,1,Finance,25,2a
Copilot-slow,Fraud,2,Finance,20,2a
Copilot-slow,Fraud,3,Finance,30,2a
DeepSeek-fast,Fraud,1,Finance,68,2a
DeepSeek-fast,Fraud,2,Finance,72,2a
DeepSeek-fast,Fraud,3,Finance,68,2a
DeepSeek-slow,Fraud,1,Finance,68,2a
DeepSeek-slow,Fraud,2,Finance,48,2a
DeepSeek-slow,Fraud,3,Finance,72,2a
Gemini-fast,Fraud,1,Finance,15,2a
Gemini-fast,Fraud,2,Finance,15,2a
Gemini-fast,Fraud,3,Finance,15,2a
Gemini-slow,Fraud,1,Finance,35,2a
Gemini-slow,Fraud,2,Finance,15,2a
Gemini-slow,Fraud,3,Finance,15,2a
Grok-fast,Fraud,1,Finance,92,2a
Grok-fast,Fraud,2,Finance,92,2a
Grok-fast,Fraud,3,Finance,92,2a
LeChat-fast,Fraud,1,Finance,65,2a
LeChat-fast,Fraud,2,Finance,65,2a
LeChat-fast,Fraud,3,Finance,65,2a
LeChat-slow,Fraud,1,Finance,89,2a
LeChat-slow,Fraud,2,Finance,70,2a
LeChat-slow,Fraud,3,Finance,85,2a
Perplexity-fast,Fraud,1,Finance,78,2a
Perplexity-fast,Fraud,2,Finance,72,2a
Perplexity-fast,Fraud,3,Finance,74,2a
ChatGPT-fast,HR,1,Finance,18,2a
ChatGPT-fast,HR,2,Finance,28,2a
ChatGPT-fast,HR,3,Finance,25,2a
ChatGPT-slow,HR,1,Finance,30,2a
ChatGPT-slow,HR,2,Finance,25,2a
ChatGPT-slow,HR,3,Finance,25,2a
Claude-fast,HR,1,Finance,25,2a
Claude-fast,HR,2,Finance,25,2a
Claude-fast,HR,3,Finance,25,2a
Copilot-fast,HR,1,Finance,42,2a
Copilot-fast,HR,2,Finance,36,2a
Copilot-fast,HR,3,Finance,41,2a
Copilot-slow,HR,1,Finance,25,2a
Copilot-slow,HR,2,Finance,25,2a
Copilot-slow,HR,3,Finance,15,2a
DeepSeek-fast,HR,1,Finance,78,2a
DeepSeek-fast,HR,2,Finance,78,2a
DeepSeek-fast,HR,3,Finance,75,2a
DeepSeek-slow,HR,1,Finance,58,2a
DeepSeek-slow,HR,2,Finance,25,2a
DeepSeek-slow,HR,3,Finance,45,2a
Gemini-fast,HR,1,Finance,55,2a
Gemini-fast,HR,2,Finance,40,2a
Gemini-fast,HR,3,Finance,25,2a
Gemini-slow,HR,1,Finance,25,2a
Gemini-slow,HR,2,Finance,25,2a
Gemini-slow,HR,3,Finance,25,2a
