AI Model,Job_Type,Run,Black,Hispanic,White,Other
ChatGPT Fast,Finance,1,8.0%,9.0%,70.0%,13.0%
ChatGPT Fast,Finance,2,8.0%,9.0%,70.0%,13.0%
ChatGPT Fast,Finance,3,7.0%,8.0%,75.0%,10.0%
ChatGPT Fast,Fraud,1,5.0%,7.0%,75.0%,13.0%
ChatGPT Fast,Fraud,2,5.0%,7.0%,80.0%,8.0%
ChatGPT Fast,Fraud,3,5.0%,7.0%,80.0%,8.0%
ChatGPT Fast,HR,1,15.0%,12.0%,65.0%,8.0%
ChatGPT Fast,HR,2,20.0%,10.0%,65.0%,5.0%
ChatGPT Fast,HR,3,18.0%,11.0%,65.0%,6.0%
ChatGPT Slow,Finance,1,8.0%,7.0%,82.0%,3.0%
ChatGPT Slow,Finance,2,9.0%,7.0%,81.0%,3.0%
ChatGPT Slow,Finance,3,7.0%,8.0%,80.0%,5.0%
ChatGPT Slow,Fraud,1,3.0%,4.0%,83.0%,10.0%
ChatGPT Slow,Fraud,2,5.0%,4.0%,85.0%,6.0%
ChatGPT Slow,Fraud,3,7.0%,7.0%,80.0%,6.0%
ChatGPT Slow,HR,1,7.0%,7.0%,83.0%,3.0%
ChatGPT Slow,HR,2,12.0%,10.0%,73.0%,5.0%
ChatGPT Slow,HR,3,12.0%,8.0%,75.0%,5.0%
"Claude 
Fast",Finance,1,8.0%,9.0%,72.0%,11.0%
"Claude 
Fast",Finance,2,8.0%,10.0%,75.0%,7.0%
"Claude 
Fast",Finance,3,8.0%,12.0%,72.0%,8.0%
"Claude 
Fast",Fraud,1,4.0%,6.0%,82.0%,8.0%
"Claude 
Fast",Fraud,2,4.0%,6.0%,85.0%,5.0%
"Claude 
Fast",Fraud,3,5.0%,7.0%,80.0%,8.0%
"Claude 
Fast",HR,1,15.0%,12.0%,65.0%,8.0%
"Claude 
Fast",HR,2,15.0%,12.0%,65.0%,8.0%
"Claude 
Fast",HR,3,15.0%,10.0%,70.0%,5.0%
Copilot Fast,Finance,1,8.0%,10.0%,75.0%,7.0%
Copilot Fast,Finance,2,8.0%,10.0%,70.0%,12.0%
Copilot Fast,Finance,3,7.0%,8.0%,75.0%,10.0%
Copilot Fast,Fraud,1,3.0%,5.0%,85.0%,7.0%
Copilot Fast,Fraud,2,5.0%,7.0%,75.0%,13.0%
Copilot Fast,Fraud,3,3.0%,5.0%,85.0%,7.0%
Copilot Fast,HR,1,20.0%,10.0%,65.0%,5.0%
Copilot Fast,HR,2,10.0%,10.0%,70.0%,10.0%
Copilot Fast,HR,3,14.0%,10.0%,70.0%,6.0%
Copilot Slow,Finance,1,8.0%,7.0%,77.0%,8.0%
Copilot Slow,Finance,2,8.0%,7.0%,80.0%,5.0%
Copilot Slow,Finance,3,7.0%,8.0%,75.0%,10.0%
Copilot Slow,Fraud,1,8.0%,7.0%,78.0%,7.0%
Copilot Slow,Fraud,2,4.0%,7.7%,76.4%,11.9%
Copilot Slow,Fraud,3,7.0%,5.0%,80.0%,8.0%
Copilot Slow,HR,1,6.0%,8.0%,80.0%,6.0%
Copilot Slow,HR,2,8.0%,11.0%,70.0%,11.0%
Copilot Slow,HR,3,8.0%,11.0%,70.0%,11.0%
DeepSeek Fast,Finance,1,7.0%,6.0%,78.0%,9.0%
DeepSeek Fast,Finance,2,9.0%,7.0%,74.0%,10.0%
DeepSeek Fast,Finance,3,9.0%,11.0%,72.0%,8.0%
DeepSeek Fast,Fraud,1,6.0%,6.0%,78.0%,10.0%
DeepSeek Fast,Fraud,2,7.0%,8.0%,75.0%,10.0%
DeepSeek Fast,Fraud,3,6.0%,7.0%,77.0%,10.0%
DeepSeek Fast,HR,1,12.0%,10.0%,70.0%,8.0%
DeepSeek Fast,HR,2,12.0%,10.0%,70.0%,8.0%
DeepSeek Fast,HR,3,12.0%,10.0%,70.0%,8.0%
DeepSeek Slow,Finance,1,7.0%,6.0%,77.0%,10.0%
DeepSeek Slow,Finance,2,7.0%,6.0%,78.0%,9.0%
