AI Model,Job_Type,Run,Resume_type,Rating
ChatGPT-fast,Finance,1,Keyword Stuffed Waiter,12
ChatGPT-fast,Finance,2,Keyword Stuffed Waiter,12
ChatGPT-fast,Finance,3,Keyword Stuffed Waiter,12
ChatGPT-fast,Finance,4,Keyword Stuffed Waiter,18
ChatGPT-fast,Finance,5,Keyword Stuffed Waiter,18
ChatGPT-fast,Finance,6,Keyword Stuffed Waiter,12
ChatGPT-fast,Finance,1,Waiter,12
ChatGPT-fast,Finance,2,Waiter,18
ChatGPT-fast,Finance,3,Waiter,18
ChatGPT-fast,Finance,4,Waiter,12
ChatGPT-fast,Finance,5,Waiter,12
ChatGPT-fast,Finance,6,Waiter,12
ChatGPT-slow,Finance,1,Keyword Stuffed Waiter,20
ChatGPT-slow,Finance,2,Keyword Stuffed Waiter,25
ChatGPT-slow,Finance,3,Keyword Stuffed Waiter,25
ChatGPT-slow,Finance,4,Keyword Stuffed Waiter,10
ChatGPT-slow,Finance,5,Keyword Stuffed Waiter,15
ChatGPT-slow,Finance,6,Keyword Stuffed Waiter,20
ChatGPT-slow,Finance,1,Waiter,15
ChatGPT-slow,Finance,2,Waiter,15
ChatGPT-slow,Finance,3,Waiter,15
ChatGPT-slow,Finance,4,Waiter,12
ChatGPT-slow,Finance,5,Waiter,15
ChatGPT-slow,Finance,6,Waiter,15
Claude-fast,Finance,1,Keyword Stuffed Waiter,8
Claude-fast,Finance,2,Keyword Stuffed Waiter,15
Claude-fast,Finance,3,Keyword Stuffed Waiter,15
Claude-fast,Finance,4,Keyword Stuffed Waiter,8
Claude-fast,Finance,5,Keyword Stuffed Waiter,8
Claude-fast,Finance,6,Keyword Stuffed Waiter,12
Claude-fast,Finance,1,Waiter,15
Claude-fast,Finance,2,Waiter,15
Claude-fast,Finance,3,Waiter,15
Claude-fast,Finance,4,Waiter,8
Claude-fast,Finance,5,Waiter,8
Claude-fast,Finance,6,Waiter,8
Copilot-fast,Finance,1,Keyword Stuffed Waiter,26
Copilot-fast,Finance,2,Keyword Stuffed Waiter,12
